date,end_of_day,vol
2022-09-06,1564.5589540302462,0.8695629480880214
2022-09-07,1629.8832311636493,0.8613963538058617
2022-09-08,1635.9321760130483,0.861231854735311
2022-09-09,1717.0769569840472,0.862562150345394
2022-09-10,1779.5190288833046,0.8609004680988206
2022-09-11,1761.317355880691,0.8607490456466484
2022-09-12,1710.1642908515214,0.8599495509919587
2022-09-13,1573.2052136951713,0.8629540263986297
2022-09-14,1635.3682061921256,0.8630428058248787
2022-09-15,1471.999592516298,0.8671778044978575
2022-09-16,1432.215807478607,0.8675426486137863
2022-09-17,1471.2039553630448,0.8669098312079947
2022-09-18,1335.8525523850524,0.8716240659394026
2022-09-19,1379.920704526258,0.8719379877152442
2022-09-20,1324.1905646155858,0.8663129716988293
2022-09-21,1252.7745621685783,0.8644760256690649
2022-09-22,1330.7927929218301,0.8582343297151027
2022-09-23,1329.558806730321,0.8577424569816332
2022-09-24,1318.099347021849,0.8548168596131751
2022-09-25,1294.0750952797787,0.8549598866199035
2022-09-26,1335.1212051991713,0.8546243314688519
2022-09-27,1331.1501769338627,0.8537276849197125
2022-09-28,1340.0230594816517,0.8524763155879579
2022-09-29,1335.7389706335669,0.8522126900301209
2022-09-30,1329.1460320707963,0.8503442646895919
2022-10-01,1311.2633244162857,0.8447297551511322
2022-10-02,1277.901345279672,0.8445848442500217
2022-10-03,1323.5040179722914,0.8453374637798148
2022-10-04,1363.2371821945037,0.8458812552398647
2022-10-05,1352.5865243024869,0.844959071423326
2022-10-06,1351.4273691979538,0.844670433803611
2022-10-07,1324.8947380290601,0.8448572191735583
2022-10-08,1315.857799905668,0.8448309100465274
2022-10-09,1322.2697552193713,0.8447970407989465
2022-10-10,1291.0816596695552,0.8440309270469766
2022-10-11,1279.8833075472612,0.8434169570424823
2022-10-12,1294.2710513882173,0.8434644123231169
2022-10-13,1288.1640147020812,0.8428401594749735
2022-10-14,1297.6276053223842,0.8411366398282502
2022-10-15,1275.6937773947975,0.8408647523322497
2022-10-16,1306.943118828839,0.8412627850791661
2022-10-17,1333.4408776301655,0.8415551509564541
2022-10-18,1311.8067255158232,0.8413210324728156
2022-10-19,1284.654933702257,0.8407074712070709
2022-10-20,1282.0426467759612,0.8372868289984319
2022-10-21,1299.8019052506386,0.8371864559777021
2022-10-22,1313.767778723105,0.8370798011806808
2022-10-23,1364.4868713063736,0.8366110491760236
2022-10-24,1343.334491985092,0.8365218950333339
2022-10-25,1462.0489375629863,0.8406716830151998
2022-10-26,1568.7475855708392,0.8438381505938576
2022-10-27,1514.8635252533977,0.8430725064404252
2022-10-28,1555.0292135813938,0.838831404248528
2022-10-29,1619.4295836277443,0.8392867445502937
2022-10-30,1591.0517734961002,0.8391848821524337
2022-10-31,1572.979514885975,0.8392199790729572
2022-11-01,1580.3787334402593,0.8391760055109647
2022-11-02,1520.6383643789845,0.837545209087516
2022-11-03,1531.112630741574,0.8375811099844119
2022-11-04,1644.1928578089398,0.8409450927743645
2022-11-05,1626.8064304933644,0.8409273366921858
2022-11-06,1572.9477769721586,0.8414604240072509
2022-11-07,1569.9886360033397,0.841119045011861
2022-11-08,1334.2879331082395,0.8529717571874086
2022-11-09,1095.1839771132936,0.8709956429474222
2022-11-10,1301.5538803074423,0.8915766531023727
2022-11-11,1293.9115948871518,0.8913085244421358
2022-11-12,1255.6010507578437,0.8916897987486535
2022-11-13,1223.0064433283683,0.8919971344729771
2022-11-14,1241.997092728311,0.8921805032108565
2022-11-15,1252.7067308366848,0.8921618959393735
2022-11-16,1217.7020892163014,0.889630891262949
2022-11-17,1201.7898419641292,0.8895444866692458
2022-11-18,1213.49631006335,0.8868980722262279
2022-11-19,1218.8936571112463,0.8829884610361795
2022-11-20,1144.2531525085535,0.8844358749155586
2022-11-21,1110.2882130124592,0.8845321805670836
2022-11-22,1135.175811894246,0.8835783246561826
2022-11-23,1184.4617581029652,0.8824124326341787
2022-11-24,1204.2078028331202,0.8824497053599231
2022-11-25,1198.9755884889066,0.8803912638330976
2022-11-26,1205.6579602157142,0.8745847207805146
